iter	Passed	Remaining
294	202390	346465
295	203090	345802
296	203791	345141
297	204469	344442
298	205161	343765
299	205845	343075
300	206524	342377
301	207206	341684
302	207919	341042
303	208589	340329
304	209308	339697
305	209989	339003
306	210668	338305
307	211388	337672
308	212074	336985
309	212751	336284
310	213446	335611
311	214122	334909
312	214840	334273
313	215518	333573
314	216219	332909
315	216896	332208
316	217706	331710
317	218488	331167
318	219274	330630
319	220012	330018
320	220750	329405
321	221477	328777
322	222193	328131
323	222884	327448
324	223604	326806
325	224337	326184
326	225093	325594
327	225803	324937
328	226499	324259
329	227230	323631
330	227958	322998
331	228683	322361
332	229388	321695
333	230110	321052
334	230803	320368
335	231509	319703
336	232193	319008
337	232899	318341
338	233615	317689
339	234301	316996
340	234969	316279
341	235693	315636
342	236402	314974
343	237098	314293
344	237795	313614
345	238534	312990
346	239308	312411
347	240015	311744
348	240720	311073
349	241420	310397
350	242109	309706
351	242814	309036
352	243616	308488
353	244302	307793
354	245093	307230
355	245809	306571
356	246515	305900
357	247199	305201
358	247904	304529
359	248628	303879
360	249331	303203
361	250015	302504
362	250711	301821
363	251397	301124
364	252107	300456
365	252788	299754
366	253466	299049
367	254155	298356
368	254858	297680
369	255550	296990
370	256252	296314
371	256958	295640
372	257633	294931
373	258329	294247
374	259007	293542
375	259675	292825
376	260408	292182
377	261078	291468
378	261800	290813
379	262478	290107
380	263156	289402
381	263829	288693
382	264550	288035
383	265285	287392
384	265957	286681
385	266641	285983
386	267314	285274
387	267998	284575
388	268700	283897
389	269401	283217
390	270077	282510
391	270757	281809
392	271419	281088
393	272102	280390
394	272806	279712
395	273492	279017
396	274180	278324
397	274881	277643
398	275587	276969
399	276278	276278
400	276993	275612
401	277674	274911
402	278352	274208
403	279049	273523
404	279743	272836
405	280415	272126
406	281098	271429
407	281785	270735
408	282466	270034
409	283152	269340
410	283841	268648
411	284515	267941
412	285224	267268
413	285893	266557
414	286576	265860
415	287344	265240
416	288026	264542
417	288703	263839
418	289419	263171
419	290121	262490
420	290801	261790
421	291478	261087
422	292190	260415
423	292884	259727
424	293576	259038
425	294260	258341
426	294946	257646
427	295634	256953
428	296313	256252
429	296993	255552
430	297682	254860
431	298376	254172
432	299070	253484
433	299810	252835
434	300521	252161
435	301207	251466
436	301902	250779
437	302623	250113
438	303318	249425
439	304017	248741
440	304822	248143
441	305507	247446
442	306177	246739
443	306877	246054
444	307551	245349
445	308223	244644
446	308928	243963
447	309619	243272
448	310296	242570
449	311006	241893
450	311713	241214
451	312394	240515
452	313070	239813
453	313769	239128
454	314454	238432
455	315167	237757
456	315897	237095
457	316571	236391
458	317256	235696
459	317942	235000
460	318639	234313
461	319325	233618
462	320027	232935
463	320728	232251
464	321424	231563
465	322119	230875
466	322818	230189
467	323524	229508
468	324211	228814
469	324924	228138
470	325664	227481
471	326349	226785
472	327052	226101
473	327752	225416
474	328425	224712
475	329126	224027
476	329839	223350
477	330522	222653
478	331224	221968
479	331950	221300
480	332648	220612
481	333352	219929
482	334064	219251
483	334770	218569
484	335478	217887
485	336188	217208
486	336883	216518
487	337579	215829
488	338274	215139
489	338968	214449
490	339665	213760
491	340342	213059
492	341047	212376
493	341759	211697
494	342447	211002
495	343115	210296
496	343803	209602
497	344484	208903
498	345195	208223
499	345886	207531
500	346578	206839
501	347297	206164
502	347989	205472
503	348689	204785
504	349366	204085
505	350036	203380
506	350731	202690
507	351410	201991
508	352117	201308
509	352806	200615
510	353473	199909
511	354179	199226
512	354855	198525
513	355523	197820
514	356209	197125
515	356882	196423
516	357541	195714
517	358236	195024
518	358953	194346
519	359644	193654
520	360347	192968
521	361009	192261
522	361686	191562
523	362351	190856
524	363031	190159
525	363717	189464
526	364393	188765
527	365069	188066
528	365761	187375
529	366455	186684
530	367162	186001
531	367840	185303
532	368517	184604
533	369187	183902
534	369853	183198
535	370512	182491
536	371203	181799
537	371894	181108
538	372550	180400
539	373213	179695
540	373905	179004
541	374708	178366
542	375419	177684
543	376120	176997
544	376802	176301
545	377502	175614
546	378211	174931
547	378903	174240
548	379623	173561
549	380308	172867
550	381019	172184
551	381703	171489
552	382423	170811
553	383092	170109
554	383795	169423
555	384491	168733
556	385166	168035
557	385872	167349
558	386604	166675
559	387275	165975
560	387984	165291
561	388688	164604
562	389364	163906
563	390063	163218
564	390733	162517
565	391410	161819
566	392104	161129
567	392779	160430
568	393474	159741
569	394222	159072
570	394934	158388
571	395613	157692
572	396322	157007
573	397008	156313
574	397727	155632
575	398402	154934
576	399107	154247
577	399776	153547
578	400466	152855
579	401168	152167
580	401842	151469
581	402566	150789
582	403257	150097
583	403938	149401
584	404614	148704
585	405280	148003
586	405938	147299
587	406632	146608
588	407339	145922
589	408027	145230
590	408698	144531
591	409406	143845
592	410094	143152
593	410786	142461
594	411477	141769
595	412163	141076
596	412849	140382
597	413535	139689
598	414224	138996
599	414928	138309
600	415623	137619
601	416356	136941
602	417047	136249
603	417745	135559
604	418433	134866
605	419112	134171
606	419795	133477
607	420473	132781
608	421173	132092
609	421856	131397
610	422525	130699
611	423234	130013
612	423916	129318
613	424635	128635
614	425323	127942
615	426021	127253
616	426720	126563
617	427410	125871
618	428100	125179
619	428801	124490
620	429499	123800
621	430214	123116
622	430928	122430
623	431616	121737
624	432298	121043
625	432976	120348
626	433706	119666
627	434398	118975
628	435095	118284
629	435790	117594
630	436496	116906
631	437188	116214
632	437912	115531
633	438612	114841
634	439331	114157
635	440031	113467
636	440721	112774
637	441437	112089
638	442126	111396
639	442830	110707
640	443501	110010
641	444187	109317
642	444873	108623
643	445579	107935
644	446280	107245
645	446990	106558
646	447694	105868
647	448417	105184
648	449113	104493
649	449836	103808
650	450542	103119
651	451252	102431
652	451935	101737
653	452637	101047
654	453315	100352
655	454000	99658
656	454675	98962
657	455372	98271
658	456065	97580
659	456745	96885
660	457432	96192
661	458258	95528
662	458970	94840
663	459660	94147
664	460361	93456
665	461058	92765
666	461749	92073
667	462460	91384
668	463172	90695
669	463877	90006
670	464549	89309
671	465249	88619
672	465944	87927
673	466657	87238
674	467341	86544
675	468050	85855
676	468735	85161
677	469422	84468
678	470150	83782
679	470844	83090
680	471540	82398
681	472235	81706
682	472960	81019
683	473674	80330
684	474382	79640
685	475080	78949
686	475783	78258
687	476499	77569
688	477228	76882
689	477943	76193
690	478681	75508
691	479384	74817
692	480092	74126
693	480791	73434
694	481519	72747
695	482215	72055
696	482944	71367
697	483664	70678
698	484352	69985
699	485086	69298
700	485825	68611
701	486519	67918
702	487260	67232
703	487963	66540
704	488681	65850
705	489393	65160
706	490089	64467
707	490801	63776
708	491503	63084
709	492236	62396
710	492947	61705
711	493657	61013
712	494370	60322
713	495079	59631
714	495854	58947
715	496605	58261
716	497324	57570
717	498057	56881
718	498782	56191
719	499527	55503
720	500249	54812
721	501001	54124
722	501729	53434
723	502484	52746
724	503230	52058
725	503940	51365
726	504684	50676
727	505380	49982
728	506078	49288
729	506796	48596
730	507504	47903
731	508205	47210
732	508935	46519
733	509623	45824
734	510352	45133
735	511056	44439
736	511772	43747
737	512505	43056
738	513199	42361
739	513900	41667
740	514649	40977
741	515426	40289
742	516152	39597
743	516894	38906
744	517624	38213
745	518337	37520
746	519091	36829
747	519803	36136
748	520549	35444
749	521297	34753
750	522033	34060
751	522767	33368
752	523543	32677
753	524255	31983
754	524965	31289
755	525714	30597
756	526469	29905
757	527207	29212
758	527932	28518
759	528660	27824
760	529410	27131
761	530116	26436
762	530822	25741
763	531543	25046
764	532258	24351
765	532977	23656
766	533669	22961
767	534382	22265
768	535120	21571
769	535835	20876
770	536543	20181
771	537271	19486
772	537972	18790
773	538679	18095
774	539427	17400
775	540141	16705
776	540867	16010
777	541570	15314
778	542283	14618
779	543017	13923
780	543774	13228
781	544501	12533
782	545265	11838
783	545994	11142
784	546707	10446
785	547425	9750
786	548122	9054
787	548854	8358
788	549573	7661
789	550304	6965
790	551042	6269
791	551760	5573
792	552478	4876
793	553243	4180
794	554041	3484
795	554757	2787
796	555482	2090
797	556207	1394
798	556941	697
799	557653	0
