iter	RMSE
665	0.8156734019
666	0.8156518394
667	0.8156205012
668	0.815591705
669	0.8155677388
670	0.8155483506
671	0.8155325675
672	0.815498606
673	0.8154695886
674	0.8154525874
675	0.8154185745
676	0.8153891538
677	0.8153671236
678	0.81534736
679	0.8153109308
680	0.815287784
681	0.8152649396
682	0.8152193497
683	0.8151907395
684	0.8151720682
685	0.8151398895
686	0.8151175751
687	0.8150883764
688	0.8150496054
689	0.8150173071
690	0.8149839127
691	0.814959939
692	0.8149385328
693	0.8149182895
694	0.8148809204
695	0.8148606116
696	0.814823033
697	0.8147765023
698	0.8147467913
699	0.8147040557
700	0.8146731334
701	0.8146496877
702	0.8146279409
703	0.8146071021
704	0.8145741236
705	0.8145546833
706	0.8145302009
707	0.8145045051
708	0.8144631208
709	0.8144257322
710	0.8143957052
711	0.8143808552
712	0.8143528034
713	0.814332659
714	0.8143045875
715	0.8142837767
716	0.8142650388
717	0.8142435874
718	0.8142176836
719	0.8141948447
720	0.8141655041
721	0.8141379385
722	0.8140980868
723	0.8140712662
724	0.8140414165
725	0.8140258227
726	0.814001643
727	0.8139819273
728	0.8139641276
729	0.8139503731
730	0.8139361406
731	0.8139135773
732	0.8138838244
733	0.8138684755
734	0.813839333
735	0.8138144997
736	0.8138001181
737	0.8137686177
738	0.8137434683
739	0.8137061723
740	0.8136938172
741	0.8136593834
742	0.8136151008
743	0.8136007975
744	0.8135772175
745	0.8135436272
746	0.8135195575
747	0.8134851015
748	0.8134579169
749	0.81342501
750	0.8133864431
751	0.8133482631
752	0.8133219239
753	0.8132849254
754	0.8132659094
755	0.8132364824
756	0.8132139549
757	0.8131788847
758	0.8131496015
759	0.8131310415
760	0.8131099112
761	0.813087887
762	0.8130610653
763	0.8130395729
764	0.8130169003
765	0.8129864948
766	0.8129591892
767	0.8129349017
768	0.8129120094
769	0.8128803956
770	0.81285567
771	0.8128333605
772	0.8128036649
773	0.8127841186
774	0.8127563599
775	0.8127305547
776	0.812705321
777	0.8126895109
778	0.8126515887
779	0.8126224997
780	0.812595607
781	0.812567826
782	0.8125415112
783	0.8125198723
784	0.8124975036
785	0.812479069
786	0.8124556236
787	0.8124155273
788	0.8124002299
789	0.8123742563
790	0.8123561673
791	0.8123281632
792	0.8122999797
793	0.8122748559
794	0.8122549756
795	0.8122212052
796	0.8121946462
797	0.8121705553
798	0.8121398109
799	0.8121238969
